FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0000;23,5806;;;
180201;0000;31,3043;;;
180301;0000;40,9;;;
180401;0000;32,4333;;;
180501;0000;35,9667;;;
180601;0000;42,2;;;
180701;0000;37,0645;;;
180801;0000;34,2258;;;
180901;0000;30,64;;;
181001;0000;25,7097;;;
181101;0000;25,6667;;;
181201;0000;25,0645;;;
190101;0000;23,5667;;;
190201;0000;26,68;;;
190301;0000;42,2258;;;
190401;0000;34,4333;;;
190501;0000;46,129;;;
190601;0000;45,5;;;
190701;0000;43,3548;;;
190801;0000;43,0968;;;
190901;0000;28,2;;;
191001;0000;30,9677;;;
191101;0000;27,4333;;;
191201;0000;25,9655;;;
200101;0000;;25,8966;;
200201;0000;;26,069;;
200301;0000;;27,9615;;
200401;0000;;32,3;;
200501;0000;;32,6129;;
200601;0000;;39,7931;;
200701;0000;;38,0323;;
200801;0000;;32,2258;;
200901;0000;;26,7667;;
201001;0000;;20,9677;;
201101;0000;;19,4333;;
201201;0000;;18,1613;;
210101;0000;;20,0333;;
210201;0000;;26,4286;;
210301;0000;;28,5185;;
210401;0000;;37,2667;;
210501;0000;;48,1935;;
210601;0000;;40,9;;
210701;0000;;47,8065;;
210801;0000;;42;;
210901;0000;;36,8;;
211001;0000;;;;
