Ciudad	Fecha	Year	Mes	PM2.5	PM10
Santiago	180101	2018	1	15,29	54,42
Santiago	180201	2018	2	16,64	55,21
Santiago	180301	2018	3	17,85	75,63
Santiago	180401	2018	4	24,83	82,41
Santiago	180501	2018	5	34,65	98,61
Santiago	180601	2018	6	48,03	86,80
Santiago	180701	2018	7	40,13	62,77
Santiago	180801	2018	8	38,06	69,97
Santiago	180901	2018	9	24,97	57,63
Santiago	181001	2018	10	15,77	45,04
Santiago	181101	2018	11	15,13	43,60
Santiago	181201	2018	12	17,89	47,32
Santiago	190101	2019	1	20,40	56,55
Santiago	190201	2019	2	21,57	53,93
Santiago	190301	2019	3	21,32	61,63
Santiago	190401	2019	4	30,37	86,24
Santiago	190501	2019	5	30,42	91,60
Santiago	190601	2019	6	40,23	99,70
Santiago	190701	2019	7	49,61	110,84
Santiago	190801	2019	8	32,55	93,10
Santiago	190901	2019	9	17,50	56,69
Santiago	191001	2019	10	15,77	56,68
Santiago	191101	2019	11	13,63	61,60
Santiago	191201	2019	12	13,00	57,47
Santiago	200101	2020	1	14,90	63,06
Santiago	200201	2020	2	16,34	66,62
Santiago	200301	2020	3	17,95	70,93
Santiago	200401	2020	4	21,43	81,23
Santiago	200501	2020	5	29,90	86,45
Santiago	200601	2020	6	28,97	71,27
Santiago	200701	2020	7	39,35	93,16
Santiago	200801	2020	8	26,13	57,81
Santiago	200901	2020	9	20,33	55,90
Santiago	201001	2020	10	14,71	55,73
Santiago	201101	2020	11	11,77	50,23
Santiago	201201	2020	12	11,38	51,97
Santiago	210101	2021	1	11,90	49,73
Santiago	210201	2021	2	12,54	46,04
Santiago	210301	2021	3	14,73	52,26
Santiago	210401	2021	4	21,07	62,43
Santiago	210501	2021	5	35,90	86,26
Santiago	210601	2021	6	38,18	79,82
Santiago	210701	2021	7	50,39	104,32
Santiago	210801	2021	8	33,77	74,55
Santiago	210901	2021	9	16,83	48,43
Valdivia	180101	2018	1	4,79	17,50
Valdivia	180201	2018	2	5,64	16,75
Valdivia	180301	2018	3	13,93	23,74
Valdivia	180401	2018	4	46,03	56,52
Valdivia	180501	2018	5	69,84	80,68
Valdivia	180601	2018	6	76,30	84,83
Valdivia	180701	2018	7	83,87	93,29
Valdivia	180801	2018	8	60,13	70,45
Valdivia	180901	2018	9	38,37	44,32
Valdivia	181001	2018	10	24,23	30,74
Valdivia	181101	2018	11	12,07	20,75
Valdivia	181201	2018	12	5,19	15,70
Valdivia	190101	2019	1	4,81	14,10
Valdivia	190201	2019	2	5,04	15,82
Valdivia	190301	2019	3	8,68	16,58
Valdivia	190401	2019	4	39,28	47,11
Valdivia	190501	2019	5	47,93	56,59
Valdivia	190601	2019	6	49,83	52,38
Valdivia	190701	2019	7	58,19	61,87
Valdivia	190801	2019	8	68,39	73,37
Valdivia	190901	2019	9	36,13	41,57
Valdivia	191001	2019	10	22,55	31,42
Valdivia	191101	2019	11	9,07	17,67
Valdivia	191201	2019	12	4,54	11,88
Valdivia	200101	2020	1	3,61	13,03
Valdivia	200201	2020	2	5,38	14,66
Valdivia	200301	2020	3	6,84	13,84
Valdivia	200401	2020	4	39,10	46,20
Valdivia	200501	2020	5	55,29	63,23
Valdivia	200601	2020	6	43,55	47,29
Valdivia	200701	2020	7	66,39	64,84
Valdivia	200801	2020	8	63,35	63,48
Valdivia	200901	2020	9	36,63	41,67
Valdivia	201001	2020	10	17,71	24,19
Valdivia	201101	2020	11	7,80	15,17
Valdivia	201201	2020	12	4,68	13,69
Valdivia	210101	2021	1	4,29	13,35
Valdivia	210201	2021	2	3,89	14,63
Valdivia	210301	2021	3	5,35	15,00
Valdivia	210401	2021	4	32,13	36,70
Valdivia	210501	2021	5	49,90	52,24
Valdivia	210601	2021	6	67,39	69,39
Valdivia	210701	2021	7	58,69	60,52
Valdivia	210801	2021	8	40,94	45,90
Valdivia	210901	2021	9	34,34	39,14
Antofagasta	180101	2018	1	23,58	23,58
Antofagasta	180201	2018	2	31,30	31,30
Antofagasta	180301	2018	3	40,90	40,90
Antofagasta	180401	2018	4	32,43	32,43
Antofagasta	180501	2018	5	35,97	35,97
Antofagasta	180601	2018	6	42,20	42,20
Antofagasta	180701	2018	7	37,06	37,06
Antofagasta	180801	2018	8	34,23	34,23
Antofagasta	180901	2018	9	30,64	30,64
Antofagasta	181001	2018	10	25,71	25,71
Antofagasta	181101	2018	11	25,67	25,67
Antofagasta	181201	2018	12	25,06	25,06
Antofagasta	190101	2019	1	23,57	23,57
Antofagasta	190201	2019	2	26,68	26,68
Antofagasta	190301	2019	3	42,23	42,23
Antofagasta	190401	2019	4	34,43	34,43
Antofagasta	190501	2019	5	46,13	46,13
Antofagasta	190601	2019	6	45,50	45,50
Antofagasta	190701	2019	7	43,35	43,35
Antofagasta	190801	2019	8	43,10	43,10
Antofagasta	190901	2019	9	28,20	28,20
Antofagasta	191001	2019	10	30,97	30,97
Antofagasta	191101	2019	11	27,43	27,43
Antofagasta	191201	2019	12	25,97	25,97
Antofagasta	200101	2020	1	25,90	25,90
Antofagasta	200201	2020	2	26,07	26,07
Antofagasta	200301	2020	3	27,96	27,96
